// SAMIT (Schwarz et al. 2006)
// 
// doi: 10.1371/journal.pone.0122363
//
// Index	Name
1	Accumbens_Core_Left
2	Accumbens_Core_Right
3	Accumbens_Shell_Left
4	AccumbensShell_Right
5	Amygdala_Left
6	Amygdala_Right
7	Bed_Nucleus_Stria_Terminalis_Left
8	Bed_Nucleus_Stria_Terminalis_Right
9	Caudate_Putamen_Left
10	CaudatePutamen_Right
11	Cerebellum_Left
12	Cerebellum_Right
13	Corpus_Callosum_Left
14	Corpus_Callosum_Right
15	Cortex_Auditory_Left
16	Cortex_Auditory_Right
17	Cortex_Cingulate_Left
18	Cortex_Cingulate_Right
19	Cortex_Entorhinal_Left
20	Cortex_Entorhinal_Right
21	Cortex_Frontal_Association_Left
22	Cortex_Frontal_Association_Right
23	Cortex_Insular_Left
24	Cortex_Insular_Right
25	Cortex_MedialPrefrontal_Left
26	Cortex_MedialPrefrontal_Right
27	Cortex_Motor_Left
28	Cortex_Motor_Right
29	Cortex_Orbitofrontal_Left
30	Cortex_Orbitofrontal_Right
31	Cortex_Parietal_Association_Left
32	Cortex_Parietal_Association_Right
33	Cortex_Piriform_Left
34	Cortex_Piriform_Right
35	Cortex_Retrosplenial_Left
36	Cortex_Retrosplenial_Right
37	Cortex_Somatosensory_Left
38	Cortex_Somatosensory_Right
39	Cortex_TemporalAssociation_Left
40	Cortex_TemporalAssociation_Right
41	Cortex_Visual_Left
42	Cortex_Visual_Right
43	Diagonal_Band_Left
44	Diagonal_Band_Right
45	Globus_Pallidus_Left
46	Globus_Pallidus_Right
47	Hippocampus_AnteroDorsal_Left
48	Hippocampus_AnteroDorsal_Right
49	Hippocampus_Posterior_Left
50	Hippocampus_Posterior_Right
51	Hippocampus_PosteroDorsal_Left
52	Hippocampus_PosteroDorsal_Right
53	Hippocampus_Subiculum_Left
54	Hippocampus_Subiculum_Right
55	Hippocampus_Ventral_Left
56	Hippocampus_Ventral_Right
57	Hypothalamus_Lateral_Left
58	Hypothalamus_Lateral_Right
59	Hypothalamus_Medial_Left
60	Hypothalamus_Medial_Right
61	Internal_Capsule_Left
62	Internal_Capsule_Right
63	IPAC_Left
64	IPAC_Right
65	Medial_Geniculate_Left
66	Medial_Geniculate_Right
67	Medulla_Left
68	Medulla_Right
69	Mesencephalic_Region_Left
70	Mesencephalic_Region_Right
71	Olfactory_Nuclei_Left
72	Olfactory_Nuclei_Right
73	Olfactory_Tubercle_Left
74	Olfactory_Tubercle_Right
75	PAG_Left
76	PAG_Right
77	Pons_Left
78	Pons_Right
79	Raphe_Left
80	Raphe_Right
81	Septum_Left
82	Septum_Right
83	Substantia_Innominata_Left
84	Substantia_Innominata_Right
85	Substantia_Nigra_Left
86	Substantia_Nigra_Right
87	Superior_Colliculus_Left
88	Superior_Colliculus_Right
89	Thalamus_Dorsolateral_Left
90	Thalamus_Dorsolateral_Right
91	Thalamus_MidlineDorsal_Left
92	Thalamus_MidlineDorsal_Right
93	Thalamus_Ventromedial_Left
94	Thalamus_Ventromedial_Right
95	Ventral_Pallidum_Left
96	Ventral_Pallidum_Right
97	Ventral_TegmentalArea_Left
98	Ventral_TegmentalArea_Right
99	Zona_Incerta_Left
100	Zona_Incerta_Right
