# SPM Rat Analysis toolbox
# Schwarz et al 2006
# doi:10.1016/j.neuroimage.2006.04.214
# Image: Schwarz_compStructs.nii

# Index	Name
1	AccumbensCore
2	AccumbensShell
3	Amygdala
4	BedNucleusStriaTerminalis
5	CaudatePutamen
6	CorpusCollosum
7	CortexAuditory
8	CortexCingulate
9	CortexEntorhinal
10	CortexFrontalAssociation
11	CortexInsular
12	CortexMedialPrefrontal
13	CortexMotor
14	CortexOrbitofrontal
15	CortexParietalAssociation
16	CortexPiriform
17	CortexRetrosplenial
18	CortexSomatosensory
19	CortexTemporalAssociation
20	CortexVisual
21	DiagonalBand
22	GlobusPallidus
23	HippocampusAnteroDorsal
24	HippocampusPosterior
25	HippocampusPosteroDorsal
26	HippocampusSubiculum
27	HippocampusVentral
28	HypothalamusLateral
29	HypothalamusMedial
30	InternalCapsule
31	IPAC
32	MedialGeniculate
33	MesencephalicRegion
34	OlfactoryNuclei
35	OlfactoryTubercle
36	PeriaqueductalGrey
37	Pons
38	Raphe
39	Septum
40	SubstantiaInnominata
41	SubstantiaNigra
42	SuperiorColliculus
43	ThalamusDorsolateral
44	ThalamusMidlineDorsal
45	ThalamusVentromedial
46	VentralPallidum
47	VentralTegmentalArea
48	ZonaIncerta
49	Medulla
50	Cerebellum
